# createdOn: 2012-09-15 12:06:57 PDT
# nbrOfRows: 80
# nbrOfColumns: 3
# columnNames: id	comment	fullname
# columnClasses: character	character	character
# URL: http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE12702
id	comment	fullname
GSM318728	prostate tumor, patient 24 (Nsp)	patient24,T,GSM318728
GSM318729	normal prostate, patient 24 (Nsp)	patient24,N,GSM318729
GSM318730	prostate tumor, patient 25 (Nsp)	patient25,T,GSM318730
GSM318731	normal prostate, patient 25 (Nsp)	patient25,N,GSM318731
GSM318732	prostate tumor, patient 27 (Nsp)	patient27,T,GSM318732
GSM318733	normal prostate, patient 27 (Nsp)	patient27,N,GSM318733
GSM318734	prostate tumor, patient 31 (Nsp)	patient31,T,GSM318734
GSM318735	normal prostate, patient 31 (Nsp)	patient31,N,GSM318735
GSM318736	prostate tumor, patient 45 (Nsp)	patient45,T,GSM318736
GSM318737	normal prostate, patient 45 (Nsp)	patient45,N,GSM318737
GSM318738	prostate tumor, patient 52 (Nsp)	patient52,T,GSM318738
GSM318739	normal prostate, patient 52 (Nsp)	patient52,N,GSM318739
GSM318740	prostate tumor, patient 58 (Nsp)	patient58,T,GSM318740
GSM318741	normal prostate, patient 58 (Nsp)	patient58,N,GSM318741
GSM318742	prostate tumor, patient 60 (Nsp)	patient60,T,GSM318742
GSM318743	normal prostate, patient 60 (Nsp)	patient60,N,GSM318743
GSM318744	prostate tumor, patient 75 (Nsp)	patient75,T,GSM318744
GSM318745	normal prostate, patient 75 (Nsp)	patient75,N,GSM318745
GSM318746	prostate tumor, patient 110 (Nsp)	patient110,T,GSM318746
GSM318747	normal prostate, patient 110 (Nsp)	patient110,N,GSM318747
GSM318748	prostate tumor, patient 115 (Nsp)	patient115,T,GSM318748
GSM318749	normal prostate, patient 115 (Nsp)	patient115,N,GSM318749
GSM318750	prostate tumor, patient 122 (Nsp)	patient122,T,GSM318750
GSM318751	normal prostate, patient 122 (Nsp)	patient122,N,GSM318751
GSM318752	prostate tumor, patient 128 (Nsp)	patient128,T,GSM318752
GSM318753	normal prostate, patient 128 (Nsp)	patient128,N,GSM318753
GSM318754	prostate tumor, patient 137 (Nsp)	patient137,T,GSM318754
GSM318755	normal prostate, patient 137 (Nsp)	patient137,N,GSM318755
GSM318756	prostate tumor, patient 138 (Nsp)	patient138,T,GSM318756
GSM318757	normal prostate, patient 138 (Nsp)	patient138,N,GSM318757
GSM318758	prostate tumor, patient 140 (Nsp)	patient140,T,GSM318758
GSM318759	normal prostate, patient 140 (Nsp)	patient140,N,GSM318759
GSM318760	prostate tumor, patient 154 (Nsp)	patient154,T,GSM318760
